Identifiant,Date,Bénéficiaire,Département,Nature du projet,Coût du projet,Subvention allouée,Part prise en charge (%),Parlementaire transmetteur,Nature,Département Parlementaire,Groupe politique du parlementaire,Lien vers données parlementaires
2011/8373,2011,SAINT-MONT,GERS,la mise en place de réserves incendie au quartier du Boutillet,10200.00,5000.00,49.02,VALL Raymond,Sénat,GERS,RDSE,http://nossenateurs.fr/VALL%20Raymond/xml
2011/8374,2011,SAINT-MURY-MONTEYMOND,ISERE,la construction d'une nouvelle mairie,505665.95,5000.00,0.99,BROTTES François,Assemblée nationale,ISERE,SRC,http://2007.nosdeputes.fr/BROTTES%20François/xml
2011/8375,2011,SAINT-NABOR-SUR-AUBE,AUBE,l'extension et l'élargissement de la rue d'Articourt (tranches ferme et optionnelle),97105.00,4000.00,4.12,DHUICQ Nicolas,Assemblée nationale,AUBE,UMP,http://2007.nosdeputes.fr/DHUICQ%20Nicolas/xml
2011/8376,2011,SAINT-NAZAIRE,GARD,l'acquisition et l'installation de plaques de dénomination des rues,3349.92,1674.00,49.97,ROUBAUD Jean-Marc,Assemblée nationale,GARD,UMP,http://2007.nosdeputes.fr/ROUBAUD%20Jean-Marc/xml
2011/8377,2011,SAINT-NAZAIRE,GARD,la numérotation des habitations,4236.90,2000.00,47.20,SUTOUR Simon,Sénat,GARD,SOC,http://nossenateurs.fr/SUTOUR%20Simon/xml
2011/8378,2011,SAINT-NAZAIRE-DE-LADAREZ,HERAULT,le remplacement des menuiseries du groupe scolaire,37625.00,15000.00,39.87,MESQUIDA Kléber,Assemblée nationale,HERAULT,SRC,http://2007.nosdeputes.fr/MESQUIDA%20Kléber/xml
2011/8379,2011,SAINT-NAZAIRE-DE-PEZAN,HERAULT,la réfection du système de chauffage de l'école maternelle et primaire et le remplacement des menuiseries de l'école et de la mairie,57611.76,10000.00,17.36,BRUGUIERE Marie-Thérèse,Sénat,HERAULT,UMP,http://nossenateurs.fr/BRUGUIERE%20Marie-Thérèse/xml
2011/8380,2011,SAINT-NICOLAS-D'ATTEZ,EURE,"l'installation d'un foyer lumineux au lieu-dit ""Le Buisson""",1122.43,550.00,49.00,PONIATOWSKI Ladislas,Sénat,EURE,UMP,http://nossenateurs.fr/PONIATOWSKI%20Ladislas/xml
2011/8381,2011,SAINT-NICOLAS-DE-BOURGUEIL,INDRE-ET-LOIRE,l'aménagement des abords et la création d'un parking au complexe sportif,24345.64,3000.00,12.32,BRIAND Philippe,Assemblée nationale,INDRE-ET-LOIRE,UMP,http://2007.nosdeputes.fr/BRIAND%20Philippe/xml
2011/8382,2011,SAINT-NICOLAS-DE-PORT,MEURTHE-ET-MOSELLE,"la construction d'une Maison de la parentalité, de l'enfance et de la jeunesse",3979913.00,40000.00,1.01,Gouvernement,Réserve ministérielle,#N/A,,
