Identifiant,Bénéficiaire,Département,Nature du projet,Coût du projet,Subvention allouée,Parlementaire transmetteur,Nature,Département Parlementaire,Groupe politique du parlementaire
2011/6308,MUTTERSHOLTZ,BAS-RHIN,"l'aménagement de la voirie, rue Langert, rue de Hilsenheim et à l'entrée ouest d'Ehnwihr",417753.5,16000.0,SITTLER Esther,Sénat,BAS-RHIN,UMP
2011/6309,MUZILLAC,MORBIHAN,la construction d'une médiathèque,1404682.27,60000.0,GOULARD François,Assemblée nationale,MORBIHAN,UMP
2011/6310,MUZY,EURE,"l'installation de nouveaux vitraux à l'église Saint-Jean- Baptiste (baies 100, 101, 102, 107, 109 et 200)",33225.94,8000.0,Gouvernement,Réserve ministérielle,,
2011/6311,MUZY,EURE,le renforcement de l'éclairage public au Hameau du Verger,1870.14,900.0,PONIATOWSKI Ladislas,Sénat,EURE,UMP
2011/6312,NABRINGHEN,PAS-DE-CALAIS,la réfection des voies communales,77051.0,10000.0,SERGENT Michel,Sénat,PAS-DE-CALAIS,SOCV
2011/6313,NADAILLAC-DE-ROUGE,LOT,l'acquisition d'un terrain en vue d'y construire un espace culturel,28528.5,10000.0,ORLIAC Dominique,Assemblée nationale,LOT,SRC
2011/6314,NAILLAT,CREUSE,la construction d'un garage communal,143468.42,6000.0,ASSOULINE David,Sénat,PARIS,SOC
2011/6315,NAIZIN,MORBIHAN,l'aménagement des abords du complexe sportif,192000.0,10000.0,LORGEOUX Gérard,Assemblée nationale,MORBIHAN,UMP
2011/6316,NAMPCEL,OISE,la restauration du porche de l'église,10945.0,4000.0,MARINI Philippe,Sénat,OISE,UMP
2011/6317,NAMPCELLES-LA-COUR,AISNE,"le drainage des eaux pluviales de la parcelle située 1, rue Aurore Hallez",88345.0,20000.0,BALLIGAND Jean-Pierre,Assemblée nationale,AISNE,SRC
2011/6318,NAMPTEUIL-SOUS-MURET,AISNE,"la pose de glissières de sécurité, rue Saint-Jacques",16963.45,800.0,LE TEXIER Raymonde,Sénat,VAL-D'OISE,SOCV
2011/6319,NANCRAY-SUR-RIMARDE,LOIRET,l'aménagement d'un pôle multi-activités dans le bâtiment communal situé Place Claire Grivot,86595.0,10000.0,DUBOIS Marianne,Assemblée nationale,LOIRET,UMP
2011/6320,NANCY,MEURTHE-ET-MOSELLE,le réaménagement de la place des Ducs de Bar,125500.0,30000.0,ROSSO-DEBORD Valérie,Assemblée nationale,MEURTHE-ET-MOSELLE,UMP
2011/6321,NANCY,MEURTHE-ET-MOSELLE,la restructuration et l'extension des offices et des restaurants scolaires des écoles maternelle et primaire Saint-Georges,231205.0,115000.0,Gouvernement,Réserve ministérielle,,
2011/6322,NANCY-SUR-CLUSES,HAUTE-SAVOIE,la réhabilitation du foyer de ski de fond situé à Romme- sur-Cluses,598760.0,10000.0,SADDIER Martial,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/6323,NANDAX,LOIRE,la construction d'une cantine scolaire,153145.45,11013.0,FOURNIER Bernard,Sénat,LOIRE,UMP
2011/6324,NANGIS,SEINE-ET-MARNE,"l'installation d'une vidéo-surveillance aux quartiers de ""La Mare aux Curées"", de la Gare routière et de la Cour Emile Zola",212500.0,70000.0,JACOB Christian,Assemblée nationale,SEINE-ET-MARNE,UMP
2011/6325,NAN-SOUS-THIL,COTE-D'OR,l'acquisition de défibrillateurs cardiaques automatiques et de boîtiers muraux,3704.6,1000.0,HOUPERT Alain,Sénat,COTE-D'OR,UMP
