longitude, latitude, nom
4.56710, 47.25114, "[McDo] 21 Pouilly-en-Auxois (D- -W)"
5.09250, 47.31306, "[McDo] 21 Quetigny (D-K-W)"
-3.16576, 48.56289, "[McDo] 22 Guingamp (C.Cial Carrefour) ( - - )"
-2.49807, 48.45412, "[McDo] 22 Lamballe (D- -W)"
-2.72442, 48.49459, "[McDo] 22 Langueux (D- - )"
-3.46165, 48.74614, "[McDo] 22 Lannion (D- - )"
-2.73263, 48.18072, "[McDo] 22 Loudéac (D- -W)"
-3.03932, 48.77137, "[McDo] 22 Paimpol (D- - )"
-2.75683, 48.53378, "[McDo] 22 Plérin (D- - )"
-2.07360, 48.44791, "[McDo] 22 Quévert (Quévert-Dinan) (D- -W)"
1.88515, 46.16816, "[McDo] 23 Guéret (C.Cial Carrefour) (D- -W)"
0.44885, 44.83523, "[McDo] 24 Bergerac (La Cavaille) (D- -W)"
0.53327, 44.85004, "[McDo] 24 Creysse (Creysse-Bergerac) (D- -W)"
0.66068, 45.19486, "[McDo] 24 Marsac-sur-l'Isle (C.Cial Auchan) (D- -W)"
1.21068, 44.90243, "[McDo] 24 Sarlat-la-Canéda (D- -W)"
1.32507, 45.12854, "[McDo] 24 Terrasson-Lavilledieu (D- -W)"
0.76550, 45.18946, "[McDo] 24 Trélissac (Périgueux - C.Cial La Feuilleraie) (D- -W)"
6.84357, 47.48718, "[McDo] 25 Audincourt (D- -W)"
5.94587, 47.21882, "[McDo] 25 Besançon (Châteaufarine) (D- -W)"
5.99250, 47.27639, "[McDo] 25 Ecole-Valentin (Besançon-Ecole-Valentin) (D- -W)"
6.81330, 47.50310, "[McDo] 25 Montbéliard (D- -W)"
6.33370, 46.91028, "[McDo] 25 Pontarlier (D- -W)"
4.78231, 44.51453, "[McDo] 26 Allan (A7 Aire de Montélimar Est Marseille>Lyon) ( -K- )"
4.78209, 44.51589, "[McDo] 26 Allan (A7 Aire de Montélimar Ouest Lyon>Marseille par passerelle) ( -K- )"
5.05560, 45.03800, "[McDo] 26 Bourg-de-Péage (D- -W)"
4.88223, 44.96101, "[McDo] 26 Bourg-lès-Valence (D- -W)"
4.83676, 44.75931, "[McDo] 26 Loriol-sur-Drome (D- -W)"
4.74468, 44.53158, "[McDo] 26 Montélimar (D- -W)"
4.75694, 44.56785, "[McDo] 26 Montélimar (Nord) (D- -W)"
4.69331, 44.36852, "[McDo] 26 Pierrelatte (D- -W)"
4.87640, 45.02044, "[McDo] 26 Pont-de-l'Isère (A7 Aire de Latitude 45 Marseille>Lyon) ( - - )"
4.87477, 45.01794, "[McDo] 26 Pont-de-l'Isère (A7 Aire de Pont-de-l'Isère Lyon>Marseille) ( - -W)"
5.07796, 45.05034, "[McDo] 26 Romans-sur-Isère (D- -W)"
4.94026, 44.95897, "[McDo] 26 Saint Marcel-lès-Valence (D- - )"
4.91471, 44.94052, "[McDo] 26 Valence (D- -W)"
4.89093, 44.92959, "[McDo] 26 Valence (Victor Hugo) ( -K-W)"
0.60384, 49.08905, "[McDo] 27 Bernay (D- -W)"
1.14444, 49.02889, "[McDo] 27 Evreux (Cinéma) (D- - )"
1.16884, 49.01135, "[McDo] 27 Evreux (D- -W)"
1.34600, 49.15763, "[McDo] 27 Gaillon (D- - )"
1.79059, 49.28456, "[McDo] 27 Gisors (D- -W)"
0.52145, 49.34923, "[McDo] 27 Pont-Audemer (D- -W)"
1.18397, 49.24885, "[McDo] 27 Val-de-Reuil (D- - )"
0.92015, 48.73233, "[McDo] 27 Verneuil-sur-Arvre (D- -W)"
1.46368, 49.09698, "[McDo] 27 Vernon (D- -W)"
1.45970, 48.86331, "[McDo] 28 Anet (D- -W)"
1.48424, 48.44429, "[McDo] 28 Chartres (Centre ville) ( - - )"
1.51827, 48.44823, "[McDo] 28 Chartres (La Madeleine) ( - - )"
1.33456, 48.08905, "[McDo] 28 Châteaudun (D- -W)"
1.36100, 48.73452, "[McDo] 28 Dreux ( - -W)"
1.34616, 48.74650, "[McDo] 28 Dreux (Ouest) (D- -W)"
1.67672, 48.59362, "[McDo] 28 Hanches (Epernon) (D- -W)"
1.51363, 48.42814, "[McDo] 28 Le Coudray (Chartres Rocade) (D- -W)"
1.43859, 48.44651, "[McDo] 28 Mainvilliers (D- -W)"
0.80090, 48.32790, "[McDo] 28 Nogent-le-Rotrou (D- -W)"
